Startdato;Slutdato;Land;Sted = By / Landområde;Institution;Kategori;Event / Begivenhed;Event-beskrivelse;Personer;Kilde
16-02-1939;;Danmark;København;Lingvistkredsen;F;Oplæg;Phonétique expérimentale;;
16-05-1940;;Danmark;København;Lingvistkredsen;F;Oplæg;Connectif et «voyelle thématique» en hongrois ;;
28-09-1940;;Danmark;Kolding;;F;Foredrag;Sprogvidenskaben;;K65 - 132ff, K136 - 1
28-09-1940;02-10-1940;Danmark;Kolding & Aarhus;;R;;;;
30-09-1940;;Danmark;Aarhus;Aarhus Universitet;F;Forelæsning;Det finske sprogs bygning;;K155 - 138, K139 - 63-64
01-10-1940;;Danmark;Aarhus;Aarhus Universitet;F;Forelæsning??;Det finske sprogs bygning;;
12-12-1940;;Danmark;København;Lingvistkredsen;F;Oplæg;Compte rendu d’articles parus dans les Travaux du Cercle linguistique de Prague, vol. VIII, 1939;;
06-03-1941;;Danmark;København;Lingvistkredsen;F;Oplæg;Compte rendu de Louis H. Gray: Foundations of Language, 1939;;
06-03-1941;;Danmark;København;Lingvistkredsen;F;Oplæg;Compte rendu de J. Lotz: Das ungarische Sprachsystem, 1939;;
17-04-1941;;Danmark;København;Lingvistkredsen;F;Oplæg;Notule sur les degrés de comparaison;;
01-05-1941;;Danmark;København;Lingvistkredsen;F;Oplæg;Discussion relative à Notule sur les degrés de comparaison;;
24-09-1941;;Danmark;København;Lingvistkredsen;F;Oplæg;Causerie linguistique (Contours d’une théorie du langage);;
25-01-1942;;Danmark;København;Statsradiofonien;F;Foredrag;Vilhelm Thomsen;;K133 - 115ff
07-05-1942;;Danmark;København;Lingvistkredsen;F;Oplæg;Compte rendu de L. Michel : Les ensembles sémiologiques dans la linguistique française;;
09-10-1942;;Danmark;København;Alliance Française;F;Foredrag;La linguistique française et sa place dans la science internationale;;K133 - 284-86
19-10-1942;;Danmark;København;Engelsklærerforeningen;F;Foredrag;Engelsk og almen grammatik;;K133 - 93
16-11-1942;05-12-1942;Danmark;København;Dansk Missionsselskab;U;Kursus;Almen fonetik;;K144 - 78
15-03-1943;;Danmark;København;Statsradiofonien;F;Foredrag i serien Danmark og verdenskulturen;Sproget;;K133 - 134ff
01-04-1943;;Danmark;København;Lingvistkredsen;F;Oplæg;Compte rendu de A. Sommerfelt: La langue et la société, 1938;;
01-04-1943;;Danmark;København;Lingvistkredsen;F;Oplæg;Compte rendu de Ed. Hermann: Probleme der Frage, 1942;;
01-04-1943;;Danmark;København;Lingvistkredsen;F;Oplæg;Compte rendu de Laziczius Gy.: Általános nyelvészet, 1942;;
14-04-1943;;Danmark;København;Det filologisk-historiske samfund;F;Foredrag;Nogle iagttagelser i østersøområdet til belysning af sprogforbundsteorien;;K133 - 368ff
15-04-1943;;Danmark;København;Lingvistkredsen;F;Oplæg;Suite de la discussion sur H. Vogt: The Structure of the Norwegian Monosyllables, 1942;;
04-05-1943;;Danmark;København;Selskab for Nordisk Filologi;F;Foredrag;Sprogbygning og sprogbrug;;K133 - 383ff
11-05-1943;;Danmark;København;Selskabet for filosofi og psykologi;F;Foredrag;Objektsprog, metasprog og ikkesprog;;K133 - 287
13-05-1943;;Danmark;København;Lingvistkredsen;F;Oplæg;Comptes rendus de travaux de L. Novák: Základná jednotka gramatického systému a  jazyková typologia, 1936 – Quelques remarques sur le système phonologique  hongrois, 1936-37 – K základným otázkam štrukturálnej jazykovedy, 1937 – Projet  d’une nouvelle définition du phonème, 1939;;
13-05-1943;;Danmark;København;Lingvistkredsen;F;Oplæg;Compte rendu de J. Vachek: Zum Problem der geschriebenen Sprache, 1939;;
09-03-1944;;Danmark;København;Lingvistkredsen;F;Oplæg;Compte rendu de J. Kuryłowicz: Struktura morfemu, 1938;;
30-11-1944;;Danmark;København;Lingvistkredsen;F;Oplæg;Hjelmslev présente TCLC 2 & 3, 1944;;
08-03-1945;;Danmark;København;Lingvistkredsen;F;Oplæg;Hjelmslev présente AL3, 2-3, 1940-43;;
13-04-1945;;Danmark;København;Dansk selskab for oldtids- og middelalderforskning;F;Foredrag;Om muligheden af strukturelle metoder i de historiske videnskaber;;K134 - 360
21-04-1945;;Danmark;København;Litteraturvidenskabelig studiekreds;F;Foredrag;Problemet om humanismens teori;;K134 - 396
1945-oktober??;;Danmark;Aarhus;Aarhus Universitet;F;To forelæsninger;Sprogbygning;;K139
24-10-1945;;Danmark;København;Lingvistkredsen;F;Oplæg;Compte rendu de E. Buyssens: Les langages et le discours, 1943;;
24-01-1946;26-01-1946;Danmark;København;Nordistmøde;N;;;;K68 - ??
23-02-1946;04-03-1946;Sverige;Stockholm, Uppsala;;R;;;;K51 - 236
ca. 10-03-1946;17-03-1946;Norge;Oslo;;R;;;;K51 - 236 (ansøgn.), 224 (bekræftelse)
28-03-1946;;Danmark;København;Lingvistkredsen;F;Oplæg;Nombre et genre dans les langues sans différenciation complète des genres;;
12-04-1946;;Danmark;København;Videnskabernes Selskab;L;Medlem;;;K12 - 140
05-09-1946;;Danmark;København;Lingvistkredsen;F;Oplæg;Base et caractéristique, verbe et phrase nominale;;
19-09-1946;;Danmark;København;Lingvistkredsen;F;Oplæg;Language and System;;
12-10-1946;16-10-1946;Sverige;Stockholm;;R;;;;
14-10-1946;15-10-1946;Sverige;Stockholm;Nordiska Språkkonferensen;N;Deltagelse;;;K51 - 440
15-10-1946;;Sverige;Stockholm;Nordiska Språkkonferensen;F;Oplæg;Semantikens grundproblem;;K134 - 410
01-11-1946;;Danmark;København;Videnskabernes Selskab ??;F;Foredrag;Langue et système / Sprog og system (minde om Kořinek);;K 134 - 149, 134
07-11-1946;;Danmark;København;Lingvistkredsen;F;Oplæg;Apport de l’école genevoise à la linguistique (A l’occasion du décès d’Albert Sechehaye et de la nouvelle édition du chef-d’œuvre de Ch. Bally);;
13-11-1946;;Danmark;København;Det filologisk-historiske samfund;F;Foredrag;Semantikens problem;;K 134 - 410
14-11-1946;26-11-1946;Frankrig;Paris;;R;;;;K51 - 179 (plan)
16-11-1946;;Frankrig;Paris;Invitation fra (møde med?) Benveniste;N?;;;;
18-11-1946;20-11-1946;Frankrig;Paris;;N;CIPL-møde;;;K51 - 190, K46 - 582, 572
01-02-1947;22-02-1947;England;London (Cambridge);;N;;;Mødes med bl.a. Jones, First, Gardiner, (Ogden?);K51 - 192ff, 201, 208
03-02-1947;;England;London;University of London;F;Forelæsning 1;;;
04-02-1947;;England;London;University of London;F;Forelæsning 2;;;
06-02-1947;;England;London;University of London;F;Forelæsning 3;;;
07-02-1947;;England;London;Philological Society;F;Forelæsning (lecture);Static and Evolutionary Aspects of Language;Afbud fra Jones;K134 - 451, 454, K51 - 217
12-02-1947;;England;London;;N;Møde;;Alan Gardiner;K51 - 199
??-??-1947;;England;Cambridge;;?;;;;
27-03-1947;;Danmark;København;Lingvistkredsen;F;Oplæg;Courants actuels de la linguistique aux Etats-Unis;;
12-05-1947;07-06-1947;Tjekkoslovakiet;;;R;;;;K51 - 134 (plan), 150, 324-331 (rapport), 240-310,
12-05-1947;;Tjekkoslovakiet;Prag;;N;Middag (incl. møde, bl.a. om dansk lektor);;Middag med Havránek, Skalička, Trnka;K51
13-05-1947;;Tjekkoslovakiet;Prag;;N;Møde;;Møde med Trnka (leder af CLP), også om dansk lektor, 14.05-15.05.-16.05.;
17-05-1947;;Tjekkoslovakiet;Prag;;N;Møde;Emne: International konference april/juni i Prag ;Havránek, Skalička, Mukařovský;K51 - 245
19-05-1947;;Tjekkoslovakiet;Prag;Tjekkiske Videnskabelige Akademi;N;Uddeling af forskermedalje;;;
20-05-1947;;Tjekkoslovakiet;Prag;Cercle linguistique de Prague;F;Oplæg ;Langues de différents degrés;;K51 - 247
21-05-1947;;Tjekkoslovakiet;Brno;;Del af Rejse;Ankomst;;;
24-05-1947;;Tjekkoslovakiet;Brno;;N;Møde;;bl.a Jiři Straka;
25-05-1947;27-05-1947;Tjekkoslovakiet;Turďianský Svätý Martin (Slovakiet), pinse;;Del af Rejse;;;;K51 - 252
27-05-1947;29-05-1947;Tjekkoslovakiet;På tur (i bjergene?), F252, F296, Štrbskè Pleso (F307-08);;Del af Rejse;;;;
29-05-1947;;Tjekkoslovakiet;Bratislava;;Del af Rejse;Ankomst;;;
30-05-1947;;Tjekkoslovakiet;Bratislava;Lingvistkredsen i Bratislava;F;Oplæg;Le problème de la sémantique;;
02-06-1947;;Tjekkoslovakiet;Prag;;Del af Rejse;Ankomst;;;
04-06-1947;;Tjekkoslovakiet;Prag;Fonetikafdelingen;N;Møde;;Bohuslav Hála;K51 -256
05-06-1947;;Tjekkoslovakiet;Prag;;N;Møder;;Vachek;
06-06-1947;;Tjekkoslovakiet;Prag;;Del af rejse;Afrejse mod København;;;K51 - 257
22-09-1947;29??-09-1947;Frankrig;Paris;UNESCO;??;Committee of Experts (philosophers and humanists);;;K68 - 231
1947 (slutaugust-oktober);;Rundrejse (Sverige, Finland, Norge);;;Rejse;;;;Rundrejse: (planer om Lund, 28.08.), Stockholm, Uppsala, Helsingfors, Åbo (er bl.a. 29.09), Uppsala, Oslo, Lund) (kps. 51, F1-.., se F18 og F47) (F133) (slut F176)
28-08-1947;;Sverige;Lund;;Del af rejse;;;;
29-08-1947;01-09-1947;Sverige;Stockholm;;??;;;;K51 - 141
03-09-1947;10-09-1947;Sverige;Uppsala;;N;;;;(F129, F 173) (kps.46, F562, brev  til Vendryes,: Collinders finno-ugriske institut, Saareste, også om Menzerath og forhold til tyskerne)
11-09-1947;;Finland;Helsinki;;Del af rejsebeskrivelse;Ankomst;;;
